"COUNT","Crash ID","DrvPassOthr","Road User Sex","Road User Age","Road User Injury","Road User Role","Road User Driver at Fault","Road User Ethnicity"
1,201000076,Driver,Female, 65,Fatal,1,"1 veh, dvr at fault",European
1,201000077,Driver,Female, 59,Fatal,1,">1 party, dvr prime fault",European
1,201000077,Driver,Male, 62,Not injured,3,">1 party, no dvr fault",European
1,201000077,Driver,Male, 68,Minor,2,">1 party, no dvr fault",European
1,201000077,Passenger,Female,  3,Minor,1,">1 party, dvr prime fault",NZ Maori
1,201000077,Passenger,Female, 27,Minor,1,">1 party, dvr prime fault",NZ Maori
1,201000078,Driver,Male, 18,Fatal,1,"1 veh, dvr at fault",European
1,201000079,Driver,Female, 40,Not injured,1,">1 party, no dvr fault",NZ Maori
1,201000079,Driver,Male, 92,Fatal,2,">1 party, dvr prime fault",European
1,201000079,Passenger,Female, 87,Serious,2,">1 party, dvr prime fault",European
1,201000080,Driver,Male, 35,Not injured,1,">1 party, no dvr fault",European
1,201000080,Other,Male, 82,Fatal,2,">1 party, dvr prime fault",Asian
1,201000081,Driver,Male, 41,Not injured,1,">1 party, no dvr fault",European
1,201000082,Driver,Male,,Not injured,1,"1 veh, no dvr fault",European
1,201000082,Passenger,Female, 11,Fatal,1,"1 veh, no dvr fault",NZ Maori
1,201000083,Driver,Male, 17,Fatal,1,"1 veh, dvr at fault",European
1,201000084,Driver,Female, 24,Not injured,1,">1 party, dvr prime fault",NZ Maori
1,201000084,Driver,Male, 39,Minor,2,">1 party, no dvr fault",European
1,201000084,Passenger,Female, 63,Fatal,1,">1 party, dvr prime fault",NZ Maori
1,201000085,Driver,Female, 36,Minor,1,">1 party, dvr prime fault",European
1,201000085,Driver,Female, 55,Serious,2,">1 party, no dvr fault",European
1,201000085,Passenger,Female, 74,Serious,2,">1 party, no dvr fault",European
1,201000085,Passenger,Male, 10,Fatal,1,">1 party, dvr prime fault",NZ Maori
1,201000085,Passenger,Male, 43,Minor,1,">1 party, dvr prime fault",NZ Maori
1,201000085,Passenger,Male, 59,Serious,2,">1 party, no dvr fault",European
1,201000086,Driver,Male, 19,Fatal,1,"1 veh, no dvr fault",European
1,201000086,Passenger,Male, 19,Fatal,1,"1 veh, no dvr fault",European
1,201000086,Passenger,Male, 20,Serious,1,"1 veh, no dvr fault",NZ Maori
1,201000087,Driver,Male, 40,Fatal,1,"1 veh, no dvr fault",European
1,201000087,Passenger,Male, 37,Serious,1,"1 veh, no dvr fault",European
1,201000088,Driver,Female, 47,Fatal,1,">1 party, dvr prime fault",Asian
1,201000088,Driver,Male, 45,Serious,2,">1 party, no dvr fault",European
1,201000088,Passenger,Female, 45,Serious,1,">1 party, dvr prime fault",Asian
1,201000089,Driver,Male, 26,Minor,1,"1 veh, dvr at fault",Other Pacific Islander
1,201000089,Passenger,Male, 22,Fatal,1,"1 veh, dvr at fault",Other Pacific Islander
1,201000090,Driver,Male, 42,Fatal,1,"1 veh, dvr at fault",NZ Maori
1,201000091,Driver,Female, 25,Minor,1,">1 party, dvr prime fault",European
1,201000091,Driver,Male, 34,Minor,2,">1 party, no dvr fault",NZ Maori
1,201000091,Driver,Male, 68,Not injured,3,">1 party, no dvr fault",NZ Maori
1,201000091,Passenger,Male,  3,Fatal,1,">1 party, dvr prime fault",European
2,201000091,Passenger,Male,,Minor,2,">1 party, no dvr fault",NZ Maori
1,201000092,Driver,Male, 47,Fatal,1,"1 veh, dvr at fault",European
1,201000093,Driver,Female, 58,Minor,2,">1 party, no dvr fault",European
1,201000093,Driver,Male, 40,Not injured,4,">1 party, no dvr fault",European
1,201000093,Driver,Male, 41,Not injured,3,">1 party, no dvr fault",European
1,201000093,Driver,Male, 71,Not injured,1,">1 party, dvr prime fault",European
1,201000093,Passenger,Male, 88,Fatal,2,">1 party, no dvr fault",European
1,201000094,Driver,Female, 55,Minor,2,">1 party, no dvr fault",NZ Maori
1,201000094,Driver,Male, 31,Fatal,1,">1 party, dvr prime fault",NZ Maori
1,201000094,Passenger,Female, 23,Minor,2,">1 party, no dvr fault",NZ Maori
1,201000095,Driver,Male, 43,Not injured,1,">1 party, no dvr fault",European
1,201000096,Driver,Male, 15,Minor,1,">1 party, dvr prime fault",NZ Maori
1,201000096,Passenger,Female, 16,Serious,1,">1 party, dvr prime fault",NZ Maori
1,201000096,Passenger,Female, 17,Serious,1,">1 party, dvr prime fault",NZ Maori
1,201000096,Passenger,Female, 25,Fatal,1,">1 party, dvr prime fault",NZ Maori
1,201000097,Driver,Male, 27,Not injured,1,">1 party, no dvr fault",NZ Maori
1,201000098,Driver,Male,,Not injured,1,"1 veh, dvr at fault",European
1,201000099,Driver,Female, 21,Not injured,1,">1 party, dvr prime fault",Unknown
1,201000099,Driver,Female, 28,Minor,2,">1 party, dvr part fault",Asian
