"CRASH ROAD","CRASH DIST","CRASH DIRN","SIDE ROAD","CRASH ID","CRASH DATE","CRASH DOW","CRASH TIME","MVMT DESCR","CAUSES","ROAD WET","LIGHT","WTHRa","JUNC TYPE","TRAF CTRL","CRASH FATAL CNT","CRASH SEV CNT","CRASH MIN CNT",,"EASTING","NORTHING"
"EDMUND ROAD","50","S","CLAYTON ROAD","2936874","30/06/2009","Tue","1640","VAN1 NBD on EDMUND ROAD hit rear end of CAR2 stop/slow for PEDESTRIAN","VAN1 alcohol suspected, too fast on straight, failed to notice car slowing  ENV: road slippery (rain)","Wet","Twilight","Light Rain","Unknown","N/A","0","0","0","1881638","5774735",
"EDMUND ROAD","","I","HOMEDALE ST","2933075","06/03/2009","Fri","1820","CAR1 EBD on HOMEDALE ST lost control turning right, CAR1 hit Fence, Kerb on right hand bend ","CAR1 too fast entering corner, lost control when turning, inexperience  ENV: heavy rain","Wet","Overcast","Heavy Rain","T Type Junction","Give Way Sign","0","0","0","1881739","5774166",
"EDMUND ROAD","","I","HOMEDALE ST","2943115","16/10/2009","Fri","0759","CAR1 NBD on EDMUND ROAD hit CAR2 turning right onto EDMUND ROAD from the left","CAR2 failed to give way at give way sign","Wet","Overcast","Fine","T Type Junction","Give Way Sign","0","0","0","1881739","5774165",
"EDMUND ROAD","","I","JOANNE CRESCENT","201101197","23/01/2011","Sun","0222","CAR1 NBD on EDMUND ROAD lost control turning right, CAR1 hit Post Or Pole on right hand bend ","CAR1 alcohol test above limit or test refused, too fast entering corner, lost control when turning, worn tread on tyre","Wet","Dark","Heavy Rain","T Type Junction","Nil","0","3","1","1881667","5774332",
"EDMUND ROAD","15","N","LIANE PLACE","2941167","13/09/2009","Sun","1845","CAR1 NBD on EDMUND ROAD hit rear of left turning VAN2 ","CAR1 following too closely, failed to notice indication of vehicle in front  ENV: entering or leaving private house / farm","Dry","Twilight","Fine","Driveway","N/A","0","0","0","1881648","5774585",
"EDMUND ROAD","15","N","NAIRN ROAD","2839366","24/04/2008","Thu","2137","CAR1 SBD on EDMUND ROAD lost control; went off road to right, CAR1 hit Kerb","CAR1 alcohol test above limit or test refused, lost control, brakes","Dry","Dark","Fine","Unknown","N/A","0","0","0","1881915","5773863",
"EDMUND ROAD","140","N","NAIRN ROAD","2901275","17/01/2009","Sat","0752","CYCLIST1 NBD on EDMUND ROAD changing lanes/overtaking to right hit TAXI2 ","CYCLIST1 didnt see/look behind when changing lanes, position or direction","Dry","Overcast","Fine","Unknown","N/A","0","1","0","1881852","5773971",
"EDMUND ROAD","","I","NAIRN ROAD","201239350","20/10/2012","Sat","2005","CAR1 SBD on EDMUND ROAD hit CAR2 turning right onto EDMUND ROAD from the left","CAR2 failed to give way at give way sign, didnt see/look when required to give way to traffic from another direction, new driver showed inexperience","Dry","Dark","Fine","T Type Junction","Give Way Sign","0","0","0","1881923","5773851",
"EDMUND ROAD","","I","SUNSET ROAD","2840817","02/09/2008","Tue","0840","CAR1 SBD on EDMUND ROAD hit rear end of CAR2 stopped/moving slowly","CAR1 failed to notice car slowing, attention diverted by cell phone","Dry","Bright Sun","Fine","T Type Junction","Stop Sign","0","0","0","1882056","5773626",
"EDWARD ST","","I","ELIZABETH DRIVE","201043455","26/12/2010","Sun","2238","CAR1 NBD on ELIZABETH DRIVE lost control turning left, CAR1 hit Fence","CAR1 lost control under heavy acceleration","Dry","Dark","Fine","T Type Junction","Nil","0","0","0","1850031","5765651",
