"meshblockID" "REGC06" "CON06" "MCON06" "AU06" "UA06" "GED02" "MED02" "TA06V2" "WARD06V2" "CB06V2" "TASUB06V2" "urbanRuralGrade" "mainUrbanArea" "code" "urbanRural" "area" "roadLength" "MB01" "AU06D" "UA06D" "TA06" "TA06D" "RC06" "RC06D" "DHB" "DHBD" "population" "X0.4.Years" "X10.14.Years" "X15.19.Years" "X20.24.Years" "X25.29.Years" "X30.34.Years" "X35.39.Years" "X40.44.Years" "X45.49.Years" "X50.54.Years" "X55.59.Years" "X5.9.Years" "X60.64.Years" "X65.Years.and.Over" "Asian.Ethnic.Groups" "European.Ethnic.Groups" "Female" "Male" "Maori.Ethnic.Group" "Median.Age" "MELAA.Ethnic.Groups" "Other.Ethnic.Groups" "Pacific.Peoples..Ethnic.Groups" "Total" "Total.People"
1219700 "04" "0403" "0402" "539000" "010" "048" "7" "024" "02402" "02499" "02499" "Main urban area" "Rotorua" "A" "urban" 0.0759735516857814 0.703067972415729 NA NA NA NA NA NA NA NA NA 201 24 24 12 3 18 21 12 12 6 12 12 24 9 9 0 126 108 93 69 28 0 18 9 402 180
1220001 "04" "0403" "0402" "539000" "010" "048" "7" "024" "02402" "02499" "02499" "Main urban area" "Rotorua" "A" "urban" 0.0413195508827717 0.694657735071539 NA NA NA NA NA NA NA NA NA 144 12 12 9 15 9 9 12 12 3 9 12 30 3 3 3 72 75 66 72 24 0 12 15 282 138
1280102 "03" "0310" "0399" "541343" "502" "051" "7" "021" "02103" "02199" "02199" "Rural area with moderate urban influence" "" "E" "rural" 0.0673750631370587 1.32816964053585 1280100 "Iwitahi" "Rural (Incl.some Off Shore Islands)" 21 "Taupo District" 3 "Waikato Region" 6 "Lakes" 30 3 0 0 0 0 3 3 3 3 3 0 3 3 6 0 21 15 15 3 50 0 9 0 60 30
1280101 "03" "0310" "0399" "541343" "502" "051" "7" "021" "02103" "02199" "02199" "Rural area with moderate urban influence" "" "E" "rural" 0.0874490862975646 1.01378765256233 1280100 "Iwitahi" "Rural (Incl.some Off Shore Islands)" 21 "Taupo District" 3 "Waikato Region" 6 "Lakes" 21 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 12 9 NA NA NA NA NA 42 21
1183808 "04" "0401" "0401" "535800" "234" "009" "7" "022" "02201" "02201" "02299" "Independent Urban Area" "" "B" "urban" 0.0595931202681584 0.78285766300522 1183802 "Katikati Community" "Katikati Community" 22 "Western Bay of Plenty District" 4 "Bay of Plenty Region" 7 "Bay of Plenty" 144 12 12 12 9 12 9 6 9 6 6 3 12 3 30 18 90 78 66 39 30 0 21 3 291 144
1183804 "04" "0401" "0401" "535800" "234" "009" "7" "022" "02201" "02201" "02299" "Independent Urban Area" "" "B" "urban" 0.102387935861141 0.949646062878144 1183804 "Katikati Community" "Katikati Community" 22 "Western Bay of Plenty District" 4 "Bay of Plenty Region" 7 "Bay of Plenty" 216 12 12 9 12 3 6 12 9 6 6 15 6 12 96 3 168 111 105 6 60 0 36 3 426 210
1183805 "04" "0401" "0401" "535800" "234" "009" "7" "022" "02201" "02201" "02299" "Independent Urban Area" "" "B" "urban" 0.0121427472789365 0.296228531849514 1183805 "Katikati Community" "Katikati Community" 22 "Western Bay of Plenty District" 4 "Bay of Plenty Region" 7 "Bay of Plenty" 42 0 6 0 0 0 0 3 3 3 3 3 3 6 15 0 36 24 21 3 46 0 0 3 84 39
1182701 "04" "0401" "0401" "536615" "502" "009" "7" "022" "02201" "02299" "02299" "Rural area with moderate urban influence" "" "E" "rural" 3.78887748429272 7.38298169743606 1182701 "Aongatete" "Rural (Incl.some Off Shore Islands)" 22 "Western Bay of Plenty District" 4 "Bay of Plenty Region" 7 "Bay of Plenty" 213 21 24 15 12 9 9 15 18 18 12 3 24 9 18 3 90 102 111 108 30 0 21 15 423 201
1320000 "04" "0404" "0403" "542600" "239" "048" "7" "026" "02699" "02699" "02699" "Independent Urban Area" "" "B" "urban" 0.0286032677302489 0.227418267467165 1320000 "Kawerau" "Kawerau" 26 "Kawerau District" 4 "Bay of Plenty Region" 7 "Bay of Plenty" 63 6 3 3 0 3 6 6 0 3 6 6 3 9 9 6 42 30 33 27 45 0 3 6 126 60
1318300 "04" "0404" "0403" "542600" "239" "048" "7" "026" "02699" "02699" "02699" "Independent Urban Area" "" "B" "urban" 0.0414045284468562 0.533794713343899 1318300 "Kawerau" "Kawerau" 26 "Kawerau District" 4 "Bay of Plenty Region" 7 "Bay of Plenty" 108 15 9 3 6 9 6 3 9 3 6 3 12 9 15 0 51 48 60 60 28 0 6 3 216 99
1221900 "04" "0403" "0402" "540100" "010" "048" "7" "024" "02401" "02499" "02499" "Main urban area" "Rotorua" "A" "urban" 0.135581570289673 0.933432340810414 NA NA NA NA NA NA NA NA NA 162 12 9 6 9 3 6 9 12 9 15 18 12 15 27 12 114 78 81 18 46 3 30 0 324 159
1338500 "04" "0404" "0403" "542562" "502" "012" "7" "025" "02503" "02502" "02599" "Rural area with low urban influence" "" "F" "rural" 12.4912664775166 13.1370544975485 1338500 "Urewera" "Rural (Incl.some Off Shore Islands)" 25 "Whakatane District" 4 "Bay of Plenty Region" 7 "Bay of Plenty" 36 3 3 6 0 0 3 3 0 3 6 0 3 3 3 0 21 18 18 15 32 0 3 0 72 30
1318600 "04" "0404" "0403" "542600" "239" "048" "7" "026" "02699" "02699" "02699" "Independent Urban Area" "" "B" "urban" 0.043017866047837 0.56924824842022 1318600 "Kawerau" "Kawerau" 26 "Kawerau District" 4 "Bay of Plenty Region" 7 "Bay of Plenty" 117 12 9 9 3 3 12 9 6 3 3 9 18 6 12 0 60 51 63 66 33 0 6 6 231 114
1317700 "04" "0404" "0403" "542600" "239" "048" "7" "026" "02699" "02699" "02699" "Independent Urban Area" "" "B" "urban" 0.0387729917142903 0.37268224245681 1317700 "Kawerau" "Kawerau" 26 "Kawerau District" 4 "Bay of Plenty Region" 7 "Bay of Plenty" 120 12 21 9 3 6 3 6 15 9 3 3 15 6 12 9 48 63 57 75 26 0 6 9 240 117
1221802 "04" "0403" "0402" "540100" "010" "048" "7" "024" "02401" "02499" "02499" "Main urban area" "Rotorua" "A" "urban" 0.172522624460593 1.00379449135805 NA NA NA NA NA NA NA NA NA 312 12 39 12 9 21 12 18 24 21 27 27 24 15 45 21 231 156 153 45 42 3 30 3 621 303
1319901 "04" "0404" "0403" "542600" "239" "048" "7" "026" "02699" "02699" "02699" "Independent Urban Area" "" "B" "urban" 0.235150913569526 0.744348460324288 1319901 "Kawerau" "Kawerau" 26 "Kawerau District" 4 "Bay of Plenty Region" 7 "Bay of Plenty" 177 15 18 15 6 12 6 15 9 6 9 9 24 12 24 0 81 96 81 96 30 0 12 3 354 174
1264305 "04" "0403" "0402" "538602" "010" "048" "7" "024" "02401" "02499" "02499" "Main urban area" "Rotorua" "A" "urban" 0.215122850209322 0.193201152628608 NA NA NA NA NA NA NA NA NA 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 3 NA NA NA NA NA 6 3
1264900 "04" "0403" "0402" "538863" "502" "048" "7" "024" "02402" "02499" "02499" "Rural area with high urban influence" "" "D" "rural" 1.76785211829684 1.9027827143372 1264900 "Waiwhero" "Rural (Incl.some Off Shore Islands)" 24 "Rotorua District" 4 "Bay of Plenty Region" 6 "Lakes" 21 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 9 12 NA NA NA NA NA 39 21
1304200 "04" "0404" "0403" "542100" "501" "012" "7" "025" "02503" "02502" "02599" "Rural area with moderate urban influence" "" "E" "rural" 0.0750584455461887 0.282645889508362 1304200 "Taneatua" "Rural Centre" 25 "Whakatane District" 4 "Bay of Plenty Region" 7 "Bay of Plenty" 111 15 15 6 3 9 9 3 3 0 6 9 15 6 6 0 24 54 57 69 22 0 3 3 219 84
1248300 "04" "0403" "0402" "538601" "010" "048" "7" "024" "02401" "02499" "02499" "Main urban area" "Rotorua" "A" "urban" 0.0729862015067258 0.627109688644768 NA NA NA NA NA NA NA NA NA 78 0 6 9 3 3 6 6 6 12 9 6 6 0 9 0 51 33 42 33 44 0 6 3 150 75
1336900 "04" "0404" "0403" "542906" "502" "012" "7" "027" "02702" "02799" "02799" "Rural area with low urban influence" "" "F" "rural" 14.8924729519675 11.8526633738638 1336900 "Waiotahi" "Rural (Incl.some Off Shore Islands)" 27 "Opotiki District" 4 "Bay of Plenty Region" 7 "Bay of Plenty" 93 9 15 9 3 6 6 3 6 6 3 3 9 9 6 3 60 42 48 36 27 3 3 0 183 78
1265900 "04" "0403" "0402" "538864" "501" "048" "7" "024" "02402" "02499" "02499" "Rural area with high urban influence" "" "D" "rural" 0.110635029460187 0.82533536702709 1265900 "Mamaku" "Rural Centre" 24 "Rotorua District" 4 "Bay of Plenty Region" 6 "Lakes" 120 12 12 3 3 12 6 6 9 9 15 9 15 3 3 0 69 54 66 42 30 0 9 6 234 102
