0976500,Hamilton North
0976801,Hamilton West
0977400,Hamilton West
0977702,Hamilton West
0977802,Hamilton West
0978300,Hamilton West
0978801,Hamilton West
0979900,Hamilton West
0980100,Hamilton West
0981200,Te Awamutu
0982200,Te Awamutu
0984501,Hamilton Central
0986100,Te Awamutu
0986300,Te Awamutu
0987200,Te Awamutu
0987400,Cambridge
0987500,Te Awamutu
0987700,Te Awamutu
0988800,Cambridge
0991702,Cambridge
0991900,Te Awamutu
0993300,Kawhia
0993900,Kawhia
0994102,Otorohanga
0994700,Otorohanga
0995100,Otorohanga
0998800,Otorohanga
1003600,Otorohanga
1004700,Otorohanga
1004900,Otorohanga
1010201,Piopio
1010300,Piopio
1010400,Te Kuiti
1011405,Te Kuiti
1011601,Benneydale
1011603,Benneydale
1011702,Benneydale
1013600,Benneydale
1013700,Benneydale
1014001,Piopio
1016002,Mokau
1016003,Piopio
1016301,Kawhia
1016600,Mokau
1016700,Mokau
1016900,Mokau
1017800,Te Kuiti
1019603,Te Kuiti
1023300,Raetihi
1023400,Taumarunui
1023800,Taumarunui
1023900,Taumarunui
1024000,Taumarunui
1024900,National Park
1026109,Turangi
1026200,Mangakino
1026301,Taumarunui
1026302,Turangi
1026402,Turangi
1026702,Turangi
1027200,Ohura
1028802,Turangi
1028900,National Park
1029002,Turangi
1039503,Mangakino
1040800,Ohura
1041901,Taumarunui
1042400,Taumarunui
1042500,Taumarunui
1043202,Coromandel
1043205,Coromandel
1043207,Coromandel
1045104,Coromandel
1045106,Coromandel
1045200,Coromandel
1045801,Coromandel
1046206,Thames
1046402,Coromandel
1046501,Thames
1048001,Whitianga
1048101,Whitianga
1048408,Whitianga
1048602,Waihi
1056202,Thames
1057600,Thames
1057801,Thames
1058300,Thames
1059304,Tairua
1059503,Whangamata
1059615,Tairua
1060404,Whangamata
1060419,Whangamata
1060422,Whangamata
1060602,Whangamata
1061404,Whangamata
1061703,Coromandel
1064900,Ngatea
1065300,Paeroa
1065600,Ngatea
1075902,Paeroa
1076100,Waihi
1076200,Waihi
1076900,Te Aroha
1082500,Waihi
1082701,Waihi
1083102,Waihi
1083206,Waihi Beach
1083504,Waihi
1083601,Waihi
1084700,Waihi
1091000,Morrinsville
1093700,Morrinsville
1094800,Te Aroha
1095400,Morrinsville
1095900,Morrinsville
1097900,Matamata
1099500,Matamata
1100900,Morrinsville
1105500,Te Aroha
1110200,Te Aroha
1111100,Te Aroha
1113500,Matamata
1114902,Putaruru
1122400,Cambridge
1122901,Cambridge
1122902,Matamata
1123100,Cambridge
1125302,Matamata
1125900,Putaruru
1126800,Putaruru
1127601,Putaruru
1127703,Rotorua
