"meshblockID" "urbanRuralGrade" "code" "urbanRural"
2268601 "Satellite Urban Area" "C" "urban"
2013300 "Main urban area" "A" "urban"
2091601 "Main urban area" "A" "urban"
2011400 "Main urban area" "A" "urban"
2555701 "Main urban area" "A" "urban"
2097100 "Main urban area" "A" "urban"
2489805 "Main urban area" "A" "urban"
1410804 "Main urban area" "A" "urban"
1430200 "Main urban area" "A" "urban"
2098000 "Main urban area" "A" "urban"
1428900 "Main urban area" "A" "urban"
1410902 "Rural area with high urban influence" "D" "rural"
2286405 "Rural area with low urban influence" "F" "rural"
1714400 "Main urban area" "A" "urban"
2317900 "Main urban area" "A" "urban"
1717700 "Main urban area" "A" "urban"
2013800 "Main urban area" "A" "urban"
1718300 "Main urban area" "A" "urban"
1696600 "Main urban area" "A" "urban"
1716202 "Main urban area" "A" "urban"
1696500 "Main urban area" "A" "urban"
1718200 "Main urban area" "A" "urban"
1718000 "Main urban area" "A" "urban"
2317000 "Main urban area" "A" "urban"
2090500 "Main urban area" "A" "urban"
1686800 "Rural area with high urban influence" "D" "rural"
1716000 "Main urban area" "A" "urban"
1872100 "Independent Urban Area" "B" "urban"
1867600 "Independent Urban Area" "B" "urban"
130200 "Rural area with low urban influence" "F" "rural"
1870000 "Independent Urban Area" "B" "urban"
166905 "Main urban area" "A" "urban"
1866700 "Independent Urban Area" "B" "urban"
309200 "Main urban area" "A" "urban"
1866802 "Independent Urban Area" "B" "urban"
244700 "Main urban area" "A" "urban"
1867500 "Independent Urban Area" "B" "urban"
254100 "Main urban area" "A" "urban"
1856400 "Independent Urban Area" "B" "urban"
475000 "Main urban area" "A" "urban"
1858600 "Highly rural/remote area" "G" "rural"
623300 "Main urban area" "A" "urban"
640700 "Main urban area" "A" "urban"
290600 "Main urban area" "A" "urban"
1867700 "Independent Urban Area" "B" "urban"
1870100 "Independent Urban Area" "B" "urban"
116600 "Independent Urban Area" "B" "urban"
209703 "Satellite Urban Area" "C" "urban"
186002 "Main urban area" "A" "urban"
333200 "Main urban area" "A" "urban"
1047606 "Highly rural/remote area" "G" "rural"
676604 "Main urban area" "A" "urban"
541400 "Main urban area" "A" "urban"
717705 "Main urban area" "A" "urban"
637802 "Main urban area" "A" "urban"
3083401 "Main urban area" "A" "urban"
3139700 "Main urban area" "A" "urban"
3140100 "Main urban area" "A" "urban"
3138600 "Main urban area" "A" "urban"
3109900 "Main urban area" "A" "urban"
3134000 "Main urban area" "A" "urban"
3161500 "Rural area with high urban influence" "D" "rural"
3110000 "Main urban area" "A" "urban"
3140400 "Main urban area" "A" "urban"
3139200 "Main urban area" "A" "urban"
3134400 "Main urban area" "A" "urban"
3140900 "Main urban area" "A" "urban"
3141200 "Main urban area" "A" "urban"
3138500 "Main urban area" "A" "urban"
3139500 "Main urban area" "A" "urban"
3141300 "Main urban area" "A" "urban"
116500 "Independent Urban Area" "B" "urban"
217000 "Rural area with moderate urban influence" "E" "rural"
307300 "Main urban area" "A" "urban"
224238 "Main urban area" "A" "urban"
403500 "Main urban area" "A" "urban"
236810 "Main urban area" "A" "urban"
3139400 "Main urban area" "A" "urban"
3145100 "Main urban area" "A" "urban"
651600 "Main urban area" "A" "urban"
3104800 "Main urban area" "A" "urban"
3134300 "Main urban area" "A" "urban"
567401 "Main urban area" "A" "urban"
590400 "Main urban area" "A" "urban"
439400 "Highly rural/remote area" "G" "rural"
1048407 "Highly rural/remote area" "G" "rural"
516009 "Area outside urban/rural profile" "Z" NA
337400 "Main urban area" "A" "urban"
454400 "Main urban area" "A" "urban"
534700 "Main urban area" "A" "urban"
519800 "Main urban area" "A" "urban"
641800 "Main urban area" "A" "urban"
294102 "Main urban area" "A" "urban"
914500 "Main urban area" "A" "urban"
914802 "Main urban area" "A" "urban"
915100 "Main urban area" "A" "urban"
920000 "Main urban area" "A" "urban"
1112002 "Rural area with low urban influence" "F" "rural"
913900 "Main urban area" "A" "urban"
915700 "Main urban area" "A" "urban"
978110 "Main urban area" "A" "urban"
895000 "Main urban area" "A" "urban"
910800 "Main urban area" "A" "urban"
893400 "Main urban area" "A" "urban"
912200 "Main urban area" "A" "urban"
911500 "Main urban area" "A" "urban"
915800 "Main urban area" "A" "urban"
894900 "Main urban area" "A" "urban"
886600 "Main urban area" "A" "urban"
911200 "Main urban area" "A" "urban"
916000 "Main urban area" "A" "urban"
978400 "Main urban area" "A" "urban"
917600 "Main urban area" "A" "urban"
1222600 "Main urban area" "A" "urban"
1222402 "Main urban area" "A" "urban"
1335800 "Rural area with low urban influence" "F" "rural"
1220800 "Main urban area" "A" "urban"
